Title,Awards,Nominations
A Star Is Born,1,8
Bao,1,1
Black Panther,3,7
BlacKkKlansman,1,6
Bohemian Rhapsody,4,5
First Man,1,4
Free Solo,1,1
Green Book,3,5
If Beale Street Could Talk,1,3
Period. End of Sentence.,1,1
Roma,3,10
Skin,1,1
Spider-Man: Into the Spider-Verse,1,1
The Favourite,1,10
Vice,1,8
A Fantastic Woman,1,1
Blade Runner 2049,2,5
Call Me by Your Name,1,4
Coco,2,2
Darkest Hour,2,6
Dear Basketball,1,1
Dunkirk,3,8
Flesh and Sand (Carne y arena),0,0
Get Out,1,4
Heaven Is a Traffic Jam on the 405,1,1
"I, Tonya",1,3
Icarus,1,1
Phantom Thread,1,6
The Shape of Water,4,13
The Silent Child,1,1
"Three Billboards Outside Ebbing, Missouri",2,7
Arrival,1,8
Fantastic Beasts and Where to Find Them,1,2
Fences,1,4
Hacksaw Ridge,2,6
The Jungle Book,1,1
La La Land,6,14
Manchester by the Sea,2,6
Moonlight,3,8
O.J.: Made in America,1,1
Piper,1,1
Sing,1,1
Suicide Squad,1,1
The Salesman,1,1
The White Helmets,1,1
Zootopia,1,1
A Girl in the River: The Price of Forgiveness,1,1
Amy,1,1
Bear Story,1,1
Bridge of Spies,1,6
Ex Machina,1,2
Inside Out,1,2
Mad Max: Fury Road,6,10
Room,1,4
Son of Saul,1,1
Spectre,1,1
Spotlight,2,6
Stutterer,1,1
The Big Short,1,5
The Hateful Eight,1,3
The Revenant,3,12
American Sniper,1,6
Big Hero 6,1,1
Birdman,4,9
Boyhood,1,6
Citizenfour,1,1
Crisis Hotline: Veterans Press 1,1,1
Feast,1,1
Ida,1,2
Interstellar,1,5
Selma,1,2
Still Alice,1,1
The Grand Budapest Hotel,4,9
The Imitation Game,1,8
The Phone Call,1,1
The Theory of Everything,1,5
Whiplash,3,5
12 Years a Slave,3,9
20 Feet from Stardom,1,1
Blue Jasmine,1,3
Dallas Buyers Club,3,6
Frozen,2,2
Gravity,7,10
The Great Beauty,1,1
The Great Gatsby,2,2
Helium,1,1
Her,1,5
The Lady in Number 6,1,1
Mr Hublot,1,1
Amour,1,5
Anna Karenina,1,4
Argo,3,7
Brave,1,1
Curfew,1,1
Django Unchained,2,5
Inocente,1,1
Les Misérables,3,8
Life of Pi,4,11
Lincoln,2,12
Paperman,1,1
Searching for Sugar Man,1,1
Silver Linings Playbook,1,8
Skyfall,2,5
Zero Dark Thirty,1,5
A Separation,1,2
Beginners,1,1
The Fantastic Flying Books of Mr. Morris Lessmore,1,1
The Help,1,4
Hugo,5,11
Midnight in Paris,1,4
Rango,1,1
Saving Face,1,1
The Artist,5,10
The Descendants,1,5
The Girl with the Dragon Tattoo,1,5
The Iron Lady,2,2
The Muppets,1,1
The Shore,1,1
Undefeated,1,1
Alice in Wonderland,2,3
Black Swan,1,5
The Fighter,2,7
God of Love,1,1
In a Better World,1,1
Inception,4,8
Inside Job,1,1
The Lost Thing,1,1
The Social Network,3,8
Strangers No More,1,1
The King's Speech,4,12
Toy Story 3,2,5
The Wolfman,1,1
Avatar,3,9
The Blind Side,1,2
The Cove,1,1
Crazy Heart,2,3
The Hurt Locker,6,9
Inglourious Basterds,1,8
Logorama,1,1
Music by Prudence,1,1
The New Tenants,1,1
Precious,2,6
The Secret in Their Eyes,1,1
Star Trek,1,4
Up,2,5
The Young Victoria,1,3
The Curious Case of Benjamin Button,3,13
The Dark Knight,2,8
Departures,1,1
The Duchess,1,2
La Maison en Petits Cubes,1,1
Man on Wire,1,1
Milk,2,8
The Reader,1,5
Slumdog Millionaire,8,10
Smile Pinki,1,1
Toyland,1,1
Vicky Cristina Barcelona,1,1
WALL-E,1,6
Atonement,1,7
The Bourne Ultimatum,3,3
The Counterfeiters (Die Fälscher),1,1
Elizabeth: The Golden Age,1,2
Freeheld,1,1
The Golden Compass,1,2
Juno,1,4
Michael Clayton,1,7
Le Mozart des pickpockets,1,1
No Country for Old Men,4,8
Once,1,1
Peter & the Wolf,1,1
Ratatouille,1,5
Sweeney Todd: The Demon Barber of Fleet Street,1,3
Taxi to the Dark Side,1,1
There Will Be Blood,2,8
La Vie en rose,2,3
Babel,1,7
The Blood of Yingzhou District,1,1
The Danish Poet,1,1
The Departed,4,5
Dreamgirls,2,8
Happy Feet,1,1
An Inconvenient Truth,2,2
The Last King of Scotland,1,1
Letters from Iwo Jima,1,4
Little Miss Sunshine,2,4
The Lives of Others (Das Leben der Anderen),1,1
Marie Antoinette,1,1
Pan's Labyrinth (El laberinto del fauno),3,6
Pirates of the Caribbean: Dead Man's Chest,1,4
The Queen,1,6
West Bank Story,1,1
Brokeback Mountain,3,8
Capote,1,5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1,3
The Constant Gardener,1,4
Crash,3,6
Hustle & Flow,1,2
King Kong,3,4
March of the Penguins (La Marche de l'empereur),1,1
Memoirs of a Geisha,3,6
The Moon and the Son: An Imagined Conversation,1,1
A Note of Triumph: The Golden Age of Norman Corwin,1,1
Six Shooter,1,1
Syriana,1,2
Tsotsi,1,1
Walk the Line,1,5
Wallace & Gromit: The Curse of the Were-Rabbit,1,1
The Aviator,5,11
Born into Brothels,1,1
Eternal Sunshine of the Spotless Mind,1,2
Finding Neverland,1,7
The Incredibles,2,4
Lemony Snicket's A Series of Unfortunate Events,1,4
Mighty Times: The Children's March,1,1
Million Dollar Baby,4,7
The Motorcycle Diaries,1,2
Ray,2,6
Ryan,1,1
The Sea Inside,1,2
Sideways,1,5
Spider-Man 2,1,3
Wasp,1,1
The Barbarian Invasions,1,2
Chernobyl Heart,1,1
Cold Mountain,1,7
Finding Nemo,1,4
Harvie Krumpet,1,1
The Lord of the Rings: The Return of the King,11,11
Lost in Translation,1,4
Master and Commander: The Far Side of the World,2,10
Monster,1,1
Mystic River,2,6
Two Soldiers,1,1
8 Mile,1,1
Adaptation,1,4
Bowling for Columbine,1,1
Chicago,6,13
The ChubbChubbs!,1,1
The Fog of War,1,1
Frida,2,6
The Hours,1,9
The Lord of the Rings: The Two Towers,2,6
Nowhere in Africa (Nirgendwo in Afrika),1,1
The Pianist,3,7
Road to Perdition,1,6
Spirited Away,1,1
Talk to Her (Hable con ella),1,2
This Charming Man (Der Er En Yndig Mand),1,1
Twin Towers,1,1
The Accountant,1,1
A Beautiful Mind,4,8
Black Hawk Down,2,4
For the Birds,1,1
Gosford Park,1,7
Iris,1,3
The Lord of the Rings: The Fellowship of the Ring,4,13
Monster's Ball,1,2
"Monsters, Inc.",1,4
Moulin Rouge!,2,8
Murder on a Sunday Morning (Un coupable idéal),1,1
No Man's Land,1,1
Pearl Harbor,1,4
Shrek,1,2
Thoth,1,1
Training Day,1,2
Almost Famous,1,4
Big Mama,1,1
"Crouching Tiger, Hidden Dragon",4,10
Erin Brockovich,1,5
Father and Daughter,1,1
Gladiator,5,12
How the Grinch Stole Christmas,1,3
Into the Arms of Strangers: Stories of the Kindertransport,1,1
Pollock,1,2
Quiero ser (I want to be...),1,1
Traffic,4,5
U-571,1,2
Wonder Boys,1,3
All About My Mother (Todo sobre mi madre),1,1
American Beauty,5,8
Boys Don't Cry,1,2
The Cider House Rules,2,7
"Girl, Interrupted",1,1
King Gimp,1,1
The Matrix,4,4
My Mother Dreams the Satan's Disciples in New York,1,1
The Old Man and the Sea,1,1
One Day in September,1,1
The Red Violin (Le violon rouge),1,1
Sleepy Hollow,1,3
Tarzan,1,1
Topsy-Turvy,2,4
Affliction,1,2
Bunny,1,1
Election Night (Valgaften),1,1
Elizabeth,1,7
Gods and Monsters,1,3
The Last Days,1,1
Life Is Beautiful (La vita è bella),3,7
The Prince of Egypt,1,2
Saving Private Ryan,5,11
Shakespeare in Love,7,13
The Personals,1,1
What Dreams May Come,1,2
As Good as It Gets,2,7
Character (Karakter),1,1
The Full Monty,1,4
Geri's Game,1,1
Good Will Hunting,2,9
L.A. Confidential,2,9
The Long Way Home,1,1
Men in Black,1,3
A Story of Healing,1,1
Titanic,11,14
Visas and Virtue,1,1
Breathing Lessons: The Life and Work of Mark O'Brien,1,1
Dear Diary,1,1
Emma,1,2
The English Patient,9,12
Evita,1,5
Fargo,2,7
The Ghost and the Darkness,1,1
Independence Day,1,2
Jerry Maguire,1,5
Kolya,1,1
The Nutty Professor,1,1
Quest,1,1
Shine,1,7
Sling Blade,1,2
When We Were Kings,1,1
Anne Frank Remembered,1,1
Antonia's Line (Antonia),1,1
Apollo 13,2,9
Babe,1,7
Braveheart,5,10
A Close Shave,1,1
Dead Man Walking,1,4
Il Postino: The Postman,1,5
Leaving Las Vegas,1,4
Lieberman in Love,1,1
Mighty Aphrodite,1,2
One Survivor Remembers,1,1
Pocahontas,2,2
Restoration,2,2
Sense and Sensibility,1,7
Toy Story,1,3
The Usual Suspects,2,2
"The Adventures of Priscilla, Queen of the Desert",1,1
Blue Sky,1,1
Bob's Birthday,1,1
Bullets over Broadway,1,7
Burnt by the Sun (Utomlyonnye solntsem),1,1
Ed Wood,2,2
Forrest Gump,6,13
Franz Kafka's It's a Wonderful Life,1,1
Legends of the Fall,1,3
The Lion King,2,4
The Madness of King George,1,4
Maya Lin: A Strong Clear Vision,1,1
Pulp Fiction,1,7
Speed,2,3
A Time for Justice,1,1
Trevor,1,1
The Age of Innocence,1,5
Belle Epoque (The Beautiful Era),1,1
Black Rider (Schwarzfahrer),1,1
Defending Our Lives,1,1
The Fugitive,1,7
I Am a Promise: The Children of Stanton Elementary School,1,1
Jurassic Park,3,3
Mrs. Doubtfire,1,1
Philadelphia,2,5
The Piano,3,8
Schindler's List,7,12
The Wrong Trousers,1,1
Aladdin,2,5
Bram Stoker's Dracula,3,4
The Crying Game,1,6
Death Becomes Her,1,1
Educating Peter,1,1
Howards End,3,9
Indochine,1,2
Mona Lisa Descending a Staircase,1,1
My Cousin Vinny,1,1
Omnibus,1,1
The Panama Deception,1,1
A River Runs Through It,1,3
Scent of a Woman,1,4
The Last of the Mohicans,1,1
Unforgiven,4,9
Beauty and the Beast,2,6
Bugsy,2,10
City Slickers,1,1
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1,1
The Fisher King,1,5
In the Shadow of the Stars,1,1
JFK,2,8
Manipulation,1,1
Mediterraneo,1,1
Session Man,1,1
The Silence of the Lambs,5,7
Terminator 2: Judgment Day,4,6
Thelma & Louise,1,6
American Dream,1,1
Creature Comforts,1,1
Cyrano de Bergerac,1,5
Dances with Wolves,7,12
Days of Waiting,1,1
Dick Tracy,3,7
Ghost,2,5
Goodfellas,1,6
The Hunt for Red October,1,3
Journey of Hope (Reise der Hoffnung),1,1
The Lunch Date,1,1
Misery,1,1
Reversal of Fortune,1,3
Total Recall,1,2
The Abyss,1,4
Balance,1,1
Batman,1,1
Born on the Fourth of July,2,8
Cinema Paradiso,1,1
Common Threads: Stories from the Quilt,1,1
Dead Poets Society,1,4
Driving Miss Daisy,4,9
Glory,3,5
Henry V,1,3
Indiana Jones and the Last Crusade,1,3
The Johnstown Flood,1,1
The Little Mermaid,2,3
My Left Foot,2,5
Work Experience,1,1
The Accidental Tourist,1,4
The Accused,1,1
The Appointments of Dennis Jennings,1,1
Beetlejuice,1,1
Bird,1,1
Dangerous Liaisons,3,7
A Fish Called Wanda,1,3
Hôtel Terminus: The Life and Times of Klaus Barbie,1,1
The Milagro Beanfield War,1,1
Mississippi Burning,1,7
Pelle the Conqueror (Pelle erobreren),1,2
Rain Man,4,8
Tin Toy,1,1
Who Framed Roger Rabbit,4,6
Working Girl,1,6
You Don't Have to Die,1,1
Babette's Feast (Babettes gæstebud),1,1
Dirty Dancing,1,1
Harry and the Hendersons,1,1
Innerspace,1,1
The Last Emperor,9,9
The Man Who Planted Trees (L' Homme qui plantait des arbres),1,1
Moonstruck,3,6
Ray's Male Heterosexual Dance Hall,1,1
RoboCop,1,2
The Ten-Year Lunch,1,1
The Untouchables,1,4
Wall Street,1,1
Young at Heart,1,1
Aliens,2,7
Artie Shaw: Time Is All You've Got,1,1
The Assault (De Aanslag),1,1
Children of a Lesser God,1,5
The Color of Money,1,4
Down and Out in America,1,1
The Fly,1,1
A Greek Tragedy,1,1
Hannah and Her Sisters,3,7
The Mission,1,7
Platoon,4,8
Precious Images,1,1
A Room with a View,3,8
Round Midnight,1,2
Top Gun,1,4
"Women – for America, for the World",1,1
Anna & Bella,1,1
Back to the Future,1,4
Broken Rainbow,1,1
Cocoon,2,2
Kiss of the Spider Woman,1,4
Mask,1,1
Molly's Pilgrim,1,1
The Official Story (La Historia Oficial),1,2
Out of Africa,7,11
Prizzi's Honor,1,8
Ran,1,4
The Trip to Bountiful,1,2
White Nights,1,2
Witness,2,8
Witness to War: Dr. Charlie Clements,1,1
Amadeus,8,11
Charade,1,1
Dangerous Moves (La Diagonale du fou),1,1
Indiana Jones and the Temple of Doom,1,2
The Killing Fields,3,7
A Passage to India,2,11
Places in the Heart,2,7
Purple Rain,1,1
The River,1,4
The Stone Carvers,1,1
The Times of Harvey Milk,1,1
Up,1,1
The Woman in Red,1,1
Boys and Girls,1,1
Fanny & Alexander (Fanny och Alexander),4,6
Flamenco at 5:15,1,1
Flashdance,1,4
He Makes Me Feel Like Dancin',1,1
Return of the Jedi,1,4
The Right Stuff,4,8
Sundae in New York,1,1
Tender Mercies,2,5
Terms of Endearment,5,11
The Year of Living Dangerously,1,1
Yentl,1,5
E.T.: The Extra-Terrestrial,4,9
Gandhi,8,11
If You Love This Planet,1,1
Just Another Missing Kid,1,3
Missing,1,4
An Officer and a Gentleman,2,6
Quest for Fire,1,1
A Shocking Accident,1,1
Sophie's Choice,1,5
Tango,1,1
To Begin Again (Volver a empezar),1,1
Tootsie,1,10
Victor/Victoria,1,7
An American Werewolf in London,1,1
Arthur,2,4
Chariots of Fire,4,7
Close Harmony,1,1
Crac,1,1
Genocide,1,1
Mephisto,1,1
On Golden Pond,3,10
Raiders of the Lost Ark,5,8
Reds,3,12
Violet,1,1
Coal Miner's Daughter,1,7
The Dollar Bottom,1,1
The Empire Strikes Back,2,3
Fame,2,6
The Fly (A Légy),1,1
From Mao to Mozart: Isaac Stern in China,1,1
Karl Hess: Toward Liberty,1,1
Melvin and Howard,2,3
Moscow Does Not Believe in Tears,1,1
Ordinary People,4,6
Raging Bull,2,8
Tess,3,6
Alien,1,2
All That Jazz,4,9
Apocalypse Now,2,8
Being There,1,2
Best Boy,1,1
The Black Stallion,1,2
Board and Care,1,1
Breaking Away,1,5
Every Child,1,1
Kramer vs. Kramer,5,9
A Little Romance,1,2
Norma Rae,2,4
Paul Robeson: Tribute to an Artist,1,1
The Tin Drum (Die Blechtrommel),1,1
The Buddy Holly Story,1,3
California Suite,1,3
Coming Home,3,8
Days of Heaven,1,4
Death on the Nile,1,1
The Deer Hunter,5,9
The Flight of the Gossamer Condor,1,1
Get Out Your Handkerchiefs (Préparez vos mouchoirs),1,1
Heaven Can Wait,1,9
Midnight Express,2,6
Scared Straight!,1,1
Special Delivery,1,1
Superman,1,3
Teenage Father,1,1
Thank God It's Friday,1,1
Annie Hall,4,5
Close Encounters of the Third Kind,2,8
The Goodbye Girl,1,5
Gravity Is My Enemy,1,1
I'll Find a Way,1,1
Julia,3,11
A Little Night Music,1,2
Madame Rosa (La Vie devant soi),1,1
The Sand Castle (Le Château de sable),1,1
Star Wars,7,10
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1,1
You Light Up My Life,1,1
All the President's Men,4,8
Black and White in Color (Noirs et blancs en couleur),1,1
Bound for Glory,2,6
Fellini's Casanova (Il Casanova di Federico Fellini),1,2
"Harlan County, USA",1,1
In the Region of Ice,1,1
King Kong,1,2
Leisure,1,1
Logan's Run,1,2
Network,4,10
Number Our Days,1,1
The Omen,1,2
Rocky,3,10
A Star Is Born,1,4
Angel and Big Joe,1,1
Barry Lyndon,4,7
Dersu Uzala,1,1
Dog Day Afternoon,1,6
The End of the Game,1,1
Great (Great (Isambard Kingdom Brunel)),1,1
The Hindenburg,2,3
Jaws,3,4
The Man Who Skied Down Everest,1,1
Nashville,1,5
One Flew over the Cuckoo's Nest,5,9
Shampoo,1,4
The Sunshine Boys,1,4
Alice Doesn't Live Here Anymore,1,3
Amarcord,1,3
Chinatown,1,11
Closed Mondays,1,1
Don't,1,1
Earthquake,2,4
The Godfather Part II,6,11
The Great Gatsby,2,2
Harry and Tonto,1,2
Hearts and Minds,1,1
Murder on the Orient Express,1,6
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1,1
The Towering Inferno,3,8
The Bolero,1,1
Cries and Whispers (Viskningar och rop),1,5
Day for Night (La Nuit américaine),1,4
The Exorcist,2,10
Frank Film,1,1
The Great American Cowboy,1,1
